Simple Assault,12,1176
Towed,1,713
Towed,2,787
Towed,3,894
Towed,4,846
Towed,5,1012
Towed,6,1108
Towed,7,1086
Towed,8,1347
Towed,9,938
Towed,10,899
Towed,11,814
Towed,12,843
Vandalism,1,1155
Vandalism,2,1059
Vandalism,3,1088
Vandalism,4,1221
Vandalism,5,1244
Vandalism,6,1479
Vandalism,7,1649
Vandalism,8,1795
Vandalism,9,1210
Vandalism,10,1272
Vandalism,11,1144
Vandalism,12,1099
Verbal Disputes,1,1098
Verbal Disputes,2,977
Verbal Disputes,3,987
Verbal Disputes,4,1017
Verbal Disputes,5,1151
Verbal Disputes,6,1230
Verbal Disputes,7,1462
Verbal Disputes,8,1464
Verbal Disputes,9,998
Verbal Disputes,10,886
Verbal Disputes,11,870
Verbal Disputes,12,959
Violations,1,411
Violations,2,483
Violations,3,526
Violations,4,444
Violations,5,466
Violations,6,522
Violations,7,680
Violations,8,649
Violations,9,548
Violations,10,487
Violations,11,460
Violations,12,419
Warrant Arrests,1,645
Warrant Arrests,2,518
Warrant Arrests,3,613
Warrant Arrests,4,584
Warrant Arrests,5,644
Warrant Arrests,6,789
Warrant Arrests,7,889
Warrant Arrests,8,969
Warrant Arrests,9,777
Warrant Arrests,10,719
Warrant Arrests,11,646
Warrant Arrests,12,614
